State,State Code,Year,Single Race 15,Single Race 15 Code,Hispanic Origin,Hispanic Origin Code,Deaths
Alabama,1,2018,White,1,Not Hispanic or Latino,2186-2,16
Alabama,1,2018,Black,2,Not Hispanic or Latino,2186-2,14
Arizona,4,2018,White,1,Hispanic or Latino,2135-2,10
Arizona,4,2018,White,1,Not Hispanic or Latino,2186-2,10
Arkansas,5,2018,White,1,Not Hispanic or Latino,2186-2,10
California,6,2018,White,1,Hispanic or Latino,2135-2,31
California,6,2018,White,1,Not Hispanic or Latino,2186-2,22
California,6,2018,Black,2,Not Hispanic or Latino,2186-2,10
Florida,12,2018,White,1,Hispanic or Latino,2135-2,10
Florida,12,2018,White,1,Not Hispanic or Latino,2186-2,22
Florida,12,2018,Black,2,Not Hispanic or Latino,2186-2,17
Georgia,13,2018,White,1,Not Hispanic or Latino,2186-2,23
Georgia,13,2018,Black,2,Not Hispanic or Latino,2186-2,35
Illinois,17,2018,White,1,Not Hispanic or Latino,2186-2,13
Indiana,18,2018,White,1,Not Hispanic or Latino,2186-2,17
Kentucky,21,2018,White,1,Not Hispanic or Latino,2186-2,23
Louisiana,22,2018,Black,2,Not Hispanic or Latino,2186-2,15
Michigan,26,2018,White,1,Not Hispanic or Latino,2186-2,20
Michigan,26,2018,Black,2,Not Hispanic or Latino,2186-2,10
Missouri,29,2018,White,1,Not Hispanic or Latino,2186-2,17
New Jersey,34,2018,Black,2,Not Hispanic or Latino,2186-2,16
New York,36,2018,White,1,Not Hispanic or Latino,2186-2,27
New York,36,2018,Black,2,Not Hispanic or Latino,2186-2,29
North Carolina,37,2018,White,1,Not Hispanic or Latino,2186-2,12
North Carolina,37,2018,Black,2,Not Hispanic or Latino,2186-2,11
Ohio,39,2018,White,1,Not Hispanic or Latino,2186-2,18
Oklahoma,40,2018,White,1,Not Hispanic or Latino,2186-2,12
Pennsylvania,42,2018,White,1,Not Hispanic or Latino,2186-2,15
Pennsylvania,42,2018,Black,2,Not Hispanic or Latino,2186-2,10
Tennessee,47,2018,White,1,Not Hispanic or Latino,2186-2,12
Tennessee,47,2018,Black,2,Not Hispanic or Latino,2186-2,14
Texas,48,2018,White,1,Hispanic or Latino,2135-2,36
Texas,48,2018,White,1,Not Hispanic or Latino,2186-2,31
Texas,48,2018,Black,2,Not Hispanic or Latino,2186-2,24
Washington,53,2018,White,1,Not Hispanic or Latino,2186-2,13
West Virginia,54,2018,White,1,Not Hispanic or Latino,2186-2,10
Alabama,1,2019,White,1,Not Hispanic or Latino,2186-2,17
Alabama,1,2019,Black,2,Not Hispanic or Latino,2186-2,15
California,6,2019,White,1,Hispanic or Latino,2135-2,24
California,6,2019,White,1,Not Hispanic or Latino,2186-2,19
California,6,2019,Black,2,Not Hispanic or Latino,2186-2,10
Florida,12,2019,White,1,Not Hispanic or Latino,2186-2,30
Florida,12,2019,Black,2,Not Hispanic or Latino,2186-2,28
Georgia,13,2019,White,1,Not Hispanic or Latino,2186-2,16
Georgia,13,2019,Black,2,Not Hispanic or Latino,2186-2,43
Illinois,17,2019,White,1,Not Hispanic or Latino,2186-2,12
Indiana,18,2019,White,1,Not Hispanic or Latino,2186-2,27
Kentucky,21,2019,White,1,Not Hispanic or Latino,2186-2,16
Louisiana,22,2019,Black,2,Not Hispanic or Latino,2186-2,15
Maryland,24,2019,Black,2,Not Hispanic or Latino,2186-2,12
Michigan,26,2019,White,1,Not Hispanic or Latino,2186-2,20
Michigan,26,2019,Black,2,Not Hispanic or Latino,2186-2,11
Mississippi,28,2019,Black,2,Not Hispanic or Latino,2186-2,16
New Jersey,34,2019,White,1,Hispanic or Latino,2135-2,11
New Jersey,34,2019,Black,2,Not Hispanic or Latino,2186-2,14
New York,36,2019,White,1,Hispanic or Latino,2135-2,16
New York,36,2019,White,1,Not Hispanic or Latino,2186-2,23
New York,36,2019,Black,2,Not Hispanic or Latino,2186-2,33
North Carolina,37,2019,White,1,Not Hispanic or Latino,2186-2,16
North Carolina,37,2019,Black,2,Not Hispanic or Latino,2186-2,22
Ohio,39,2019,White,1,Not Hispanic or Latino,2186-2,32
Ohio,39,2019,Black,2,Not Hispanic or Latino,2186-2,14
Pennsylvania,42,2019,White,1,Not Hispanic or Latino,2186-2,21
Pennsylvania,42,2019,Black,2,Not Hispanic or Latino,2186-2,13
South Carolina,45,2019,White,1,Not Hispanic or Latino,2186-2,10
South Carolina,45,2019,Black,2,Not Hispanic or Latino,2186-2,13
Tennessee,47,2019,White,1,Not Hispanic or Latino,2186-2,11
Tennessee,47,2019,Black,2,Not Hispanic or Latino,2186-2,11
Texas,48,2019,White,1,Hispanic or Latino,2135-2,33
Texas,48,2019,White,1,Not Hispanic or Latino,2186-2,31
Texas,48,2019,Black,2,Not Hispanic or Latino,2186-2,22
Utah,49,2019,White,1,Not Hispanic or Latino,2186-2,10
Virginia,51,2019,White,1,Not Hispanic or Latino,2186-2,11
Virginia,51,2019,Black,2,Not Hispanic or Latino,2186-2,15
Washington,53,2019,White,1,Not Hispanic or Latino,2186-2,17